"","id","age","citizenship","ethnicity","year","degree","gender","condition","totalRT","causeRT","causeBlue","causePink","causeOrange","causeB&P","causeP&O","causeB&O","causeAll","causeOther","causeBlue_norm","causePink_norm","causeOrange_norm","causeB&P_norm","causeP&O_norm","causeB&O_norm","causeAll_norm","causeOther_norm","attentionRT","attentionBlue","attentionPink","attentionOrange","order","event","atomic","atomic_norm","two_conjunct","two_conjunct_norm"
"214",22,20,"ct","chinese",2,3,"Female","RV23",10.512,45.857,1,8,5,9,8,5,9,2,0,0.179487179487179,0.102564102564103,0.205128205128205,0.179487179487179,0.102564102564103,0.205128205128205,0.0256410256410256,9.132,1,1,0,3,"2",4.66666666666667,0.094017094017094,7.33333333333333,0.162393162393162
"215",23,22,"ct","chinese",3,3,"Female","V3R2",12.13841667,34.032,1,8,1,9,1,1,1,1,0,0.466666666666667,0,0.533333333333333,0,0,0,0,7.005,1,1,1,3,"R",3.33333333333333,0.155555555555556,3.66666666666667,0.177777777777778
"216",24,23,"ct","chinese",2,4,"Female","R2V3",8.303166667,20.549,1,9,1,4,4,1,1,1,0,0.571428571428571,0,0.214285714285714,0.214285714285714,0,0,0,7.605,1,1,1,3,"V",3.66666666666667,0.19047619047619,3,0.142857142857143
"217",25,21,"ct","chinese",2,3,"Female","R2V3",8.4293,25.591,3,6,3,3,6,6,6,3,0.05,0.2,0.05,0.05,0.2,0.2,0.2,0.05,6.424,1,1,1,3,"V",4,0.1,5,0.15
"218",26,21,"ct","chinese",3,6,"Female","R2V3",10.90145,25.628,1,7,3,9,9,3,9,1,0,0.176470588235294,0.0588235294117647,0.235294117647059,0.235294117647059,0.0588235294117647,0.235294117647059,0,8.188,1,1,1,3,"V",3.66666666666667,0.0784313725490196,7,0.176470588235294
"219",27,37,"nc","indian",6,6,"Male","3R2V",9.993816667,22.913,9,9,1,9,1,1,1,6,0.275862068965517,0.275862068965517,0,0.275862068965517,0,0,0,0.172413793103448,8.436,1,1,0,3,"2",6.33333333333333,0.183908045977011,3.66666666666667,0.0919540229885057
"220",28,23,"ct","chinese",3,4,"Male","RV23",8.291133333,16.142,1,9,1,7,1,1,1,1,0,0.571428571428571,0,0.428571428571429,0,0,0,0,7.335,1,1,0,3,"2",3.66666666666667,0.19047619047619,3,0.142857142857143
"221",29,22,"pr","chinese",3,3,"Female","V3R2",17.15495,67.063,1,8,2,8,2,2,1,2,0,0.388888888888889,0.0555555555555556,0.388888888888889,0.0555555555555556,0.0555555555555556,0,0.0555555555555556,4.783,1,1,0,3,"R",3.66666666666667,0.148148148148148,4,0.166666666666667
"222",30,24,"ct","chinese",4,4,"Female","RV23",8.467,24.248,2,9,1,7,1,1,1,2,0.0625,0.5,0,0.375,0,0,0,0.0625,7.643,1,1,0,3,"2",4,0.1875,3,0.125
"223",31,20,"ct","chinese",1,3,"Female","3RV2",10.96646667,118.777,3,7,3,6,1,6,1,1,0.1,0.3,0.1,0.25,0,0.25,0,0,6.232,1,1,1,3,"V",4.33333333333333,0.166666666666667,4.33333333333333,0.166666666666667
"224",32,22,"ct","chinese",3,3,"Female","RV23",9.695683333,29.623,2,6,5,7,5,5,4,2,0.0357142857142857,0.178571428571429,0.142857142857143,0.214285714285714,0.142857142857143,0.142857142857143,0.107142857142857,0.0357142857142857,7.904,1,1,0,3,"2",4.33333333333333,0.119047619047619,5.66666666666667,0.166666666666667
"225",33,23,"pr","chinese",3,4,"Female","2V3R",12.31363333,41.188,6,9,3,8,5,3,4,7,0.135135135135135,0.216216216216216,0.0540540540540541,0.189189189189189,0.108108108108108,0.0540540540540541,0.0810810810810811,0.162162162162162,8.89,1,1,1,3,"3",6,0.135135135135135,5.33333333333333,0.117117117117117
"226",34,22,"ct","chinese",1,3,"Male","3R2V",8.860066667,24.3,6,6,4,9,5,5,5,5,0.142857142857143,0.142857142857143,0.0476190476190476,0.285714285714286,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,6.392,1,1,0,3,"2",5.33333333333333,0.111111111111111,6.33333333333333,0.158730158730159
"227",35,24,"ct","chinese",4,3,"Male","V3R2",10.16185,23.56,1,9,1,9,1,1,1,1,0,0.5,0,0.5,0,0,0,0,6.926,1,1,0,3,"R",3.66666666666667,0.166666666666667,3.66666666666667,0.166666666666667
"228",36,NA,"-1","-1",-1,-1,"Male","3R2V",12.77731667,29.969,1,5,1,5,1,1,1,5,0,0.333333333333333,0,0.333333333333333,0,0,0,0.333333333333333,6.577,1,1,0,3,"2",2.33333333333333,0.111111111111111,2.33333333333333,0.111111111111111
"229",37,20,"ct","chinese",1,6,"Female","23RV",130.1343833,14.787,1,9,1,1,1,1,1,2,0,0.888888888888889,0,0,0,0,0,0.111111111111111,6.855,0,1,0,3,"R",3.66666666666667,0.296296296296296,1,0
"230",38,21,"ct","chinese",3,3,"Female","R2V3",13.1494,95.583,1,9,1,6,6,1,1,1,0,0.444444444444444,0,0.277777777777778,0.277777777777778,0,0,0,11.831,1,1,1,3,"V",3.66666666666667,0.148148148148148,4.33333333333333,0.185185185185185
"231",39,21,"ct","chinese",3,3,"Female","3RV2",7.469633333,29.798,1,9,1,9,9,1,9,7,0,0.210526315789474,0,0.210526315789474,0.210526315789474,0,0.210526315789474,0.157894736842105,4.056,1,1,1,3,"V",3.66666666666667,0.0701754385964912,6.33333333333333,0.140350877192982
"232",40,21,"ct","chinese",3,3,"Female","3RV2",7.746933333,21.966,1,1,1,9,3,9,6,5,0,0,0,0.296296296296296,0.0740740740740741,0.296296296296296,0.185185185185185,0.148148148148148,5.293,1,1,1,3,"V",1,0,7,0.222222222222222
"233",41,21,"ct","chinese",3,3,"Hide","3R2V",11.37931667,73.28,3,9,1,8,1,1,1,1,0.117647058823529,0.470588235294118,0,0.411764705882353,0,0,0,0,5.928,1,1,0,3,"2",4.33333333333333,0.196078431372549,3.33333333333333,0.137254901960784
"234",42,22,"ct","chinese",3,3,"Female","V3R2",11.45718333,24.162,1,6,1,9,1,1,9,2,0,0.227272727272727,0,0.363636363636364,0,0,0.363636363636364,0.0454545454545455,6.183,1,1,0,3,"R",2.66666666666667,0.0757575757575758,3.66666666666667,0.121212121212121
"235",43,23,"ct","chinese",3,3,"Male","2V3R",9.098166667,14.968,3,3,3,3,3,3,9,3,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.363636363636364,0.0909090909090909,7.603,1,1,1,3,"3",3,0.0909090909090909,3,0.0909090909090909
"236",44,21,"ct","chinese",2,-1,"Female","R2V3",14.54021667,20.502,4,4,4,9,9,4,4,5,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.315789473684211,0.315789473684211,0.0526315789473684,0.0526315789473684,0.105263157894737,5.852,1,1,1,3,"V",4,0.0526315789473684,7.33333333333333,0.228070175438597
"237",45,24,"ct","chinese",3,4,"Male","3R2V",8.287983333,13.586,3,3,1,7,1,1,1,1,0.2,0.2,0,0.6,0,0,0,0,4.173,1,1,0,3,"2",2.33333333333333,0.133333333333333,3,0.2
"238",46,23,"-1","-1",-1,6,"Female","V23R",10.60193333,31.631,1,1,1,7,7,1,9,6,0,0,0,0.24,0.24,0,0.32,0.2,5.346,1,1,1,3,"3",1,0,5,0.16
"239",47,24,"ct","chinese",4,4,"Female","V3R2",11.27976667,32.398,6,6,1,8,3,3,1,1,0.238095238095238,0.238095238095238,0,0.333333333333333,0.0952380952380952,0.0952380952380952,0,0,4.909,1,1,0,3,"R",4.33333333333333,0.158730158730159,4.66666666666667,0.174603174603175
"240",48,33,"ct","chinese",6,6,"Male","R2V3",14.4798,30.991,5,8,5,7,5,5,5,3,0.111111111111111,0.222222222222222,0.111111111111111,0.185185185185185,0.111111111111111,0.111111111111111,0.111111111111111,0.037037037037037,4.772,1,1,1,3,"V",6,0.148148148148148,5.66666666666667,0.135802469135802
"241",49,22,"nc","chinese",6,6,"Male","RV23",8.775083333,14.439,6,6,1,7,1,1,1,6,0.238095238095238,0.238095238095238,0,0.285714285714286,0,0,0,0.238095238095238,5.112,1,1,0,3,"2",4.33333333333333,0.158730158730159,3,0.0952380952380952
"242",50,22,"ct","chinese",2,3,"Male","R2V3",8.2092,17.079,1,5,4,1,4,1,1,1,0,0.4,0.3,0,0.3,0,0,0,8.29,1,1,1,3,"V",3.33333333333333,0.233333333333333,2,0.1
"243",51,25,"ct","chinese",3,3,"Male","2V3R",11.63346667,49.988,8,8,1,8,8,1,9,1,0.194444444444444,0.194444444444444,0,0.194444444444444,0.194444444444444,0,0.222222222222222,0,13.049,1,1,1,3,"3",5.66666666666667,0.12962962962963,5.66666666666667,0.12962962962963
"244",52,21,"ct","chinese",3,3,"Female","23RV",12.80496667,24.776,3,7,5,9,6,6,9,5,0.0476190476190476,0.142857142857143,0.0952380952380952,0.19047619047619,0.119047619047619,0.119047619047619,0.19047619047619,0.0952380952380952,5.053,1,1,1,3,"R",5,0.0952380952380952,7,0.142857142857143
"245",53,23,"ct","chinese",4,6,"Female","23RV",18.60568333,62.681,1,7,1,6,1,1,1,1,0,0.545454545454545,0,0.454545454545455,0,0,0,0,6.825,1,1,0,3,"R",3,0.181818181818182,2.66666666666667,0.151515151515152
"246",54,28,"ct","chinese",2,4,"Female","23RV",8.231733333,15.387,1,1,1,9,1,1,1,1,0,0,0,1,0,0,0,0,4.272,1,1,0,3,"R",1,0,3.66666666666667,0.333333333333333
"247",55,24,"ct","chinese",3,4,"Female","23RV",8.871633333,20.634,5,5,1,7,1,1,5,1,0.222222222222222,0.222222222222222,0,0.333333333333333,0,0,0.222222222222222,0,4.08,1,1,0,3,"R",3.66666666666667,0.148148148148148,3,0.111111111111111
"248",56,23,"ct","chinese",3,3,"Male","3R2V",139.1955,15.725,1,1,1,9,1,1,9,5,0,0,0,0.4,0,0,0.4,0.2,3.665,1,1,0,3,"2",1,0,3.66666666666667,0.133333333333333
"249",57,21,"ct","chinese",2,3,"Female","2V3R",18.0682,24.78,2,2,2,8,6,1,9,2,0.0416666666666667,0.0416666666666667,0.0416666666666667,0.291666666666667,0.208333333333333,0,0.333333333333333,0.0416666666666667,5.061,1,1,1,3,"3",2,0.0416666666666667,5,0.166666666666667
"250",58,22,"ct","chinese",2,6,"Female","3R2V",6.782983333,15.63,3,7,3,7,3,3,3,3,0.0833333333333333,0.25,0.0833333333333333,0.25,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,5.867,0,1,0,3,"2",4.33333333333333,0.138888888888889,4.33333333333333,0.138888888888889
"251",59,19,"nc","other",1,3,"Female","R2V3",9.871433333,23.641,1,9,1,3,3,1,1,3,0,0.571428571428571,0,0.142857142857143,0.142857142857143,0,0,0.142857142857143,4.941,1,1,1,3,"V",3.66666666666667,0.19047619047619,2.33333333333333,0.0952380952380952
"252",60,24,"ct","chinese",4,6,"Male","3R2V",10.08853333,35.966,1,7,1,7,1,1,1,5,0,0.375,0,0.375,0,0,0,0.25,13.724,1,1,0,3,"2",3,0.125,3,0.125
"253",61,NA,"nc","chinese",4,6,"Male","V23R",23.57891667,25.632,6,8,6,8,8,6,9,5,0.104166666666667,0.145833333333333,0.104166666666667,0.145833333333333,0.145833333333333,0.104166666666667,0.166666666666667,0.0833333333333333,6.698,1,1,1,3,"3",6.66666666666667,0.118055555555556,7.33333333333333,0.131944444444444
"254",62,21,"ct","chinese",1,3,"Male","23RV",40.9505,22.258,3,3,1,9,1,1,1,1,0.166666666666667,0.166666666666667,0,0.666666666666667,0,0,0,0,4.963,1,1,0,3,"R",2.33333333333333,0.111111111111111,3.66666666666667,0.222222222222222
