"","id","age","citizenship","ethnicity","year","degree","gender","condition","totalRT","causeRT","causeBlue","causePink","causeOrange","causeB&P","causeP&O","causeB&O","causeAll","causeOther","causeBlue_norm","causePink_norm","causeOrange_norm","causeB&P_norm","causeP&O_norm","causeB&O_norm","causeAll_norm","causeOther_norm","attentionRT","attentionBlue","attentionPink","attentionOrange","intentH","intentB","event","order","atomic","atomic_norm","two_conjunct","two_conjunct_norm"
"11",11,23,"ct","chinese",3,4,"Female","IU",2.1572,12.735,1,1,1,9,1,1,1,1,0,0,0,1,0,0,0,0,8.129,1,1,0,9,1,"I",1,1,0,3.66666666666667,0.333333333333333
"12",12,NA,"-1","-1",-1,-1,NA,"UI",3.3266,29.475,1,1,1,5,1,1,1,8,0,0,0,0.363636363636364,0,0,0,0.636363636363636,6.114,1,1,0,9,5,"I",2,1,0,2.33333333333333,0.121212121212121
"13",13,19,"ct","chinese",1,3,"Female","IU",2.846616667,56.217,1,8,1,8,1,1,6,5,0,0.304347826086957,0,0.304347826086957,0,0,0.217391304347826,0.173913043478261,7.058,1,1,0,1,1,"I",1,3.33333333333333,0.101449275362319,3.33333333333333,0.101449275362319
"14",14,23,"ct","chinese",4,6,"Female","IU",3.46885,37.03,1,6,1,8,1,1,1,2,0,0.384615384615385,0,0.538461538461538,0,0,0,0.0769230769230769,19.422,1,0,0,8,2,"I",1,2.66666666666667,0.128205128205128,3.33333333333333,0.179487179487179
"15",15,19,"ct","other",1,3,"Female","IU",5.9088,65.67,3,7,3,9,6,3,6,2,0.0645161290322581,0.193548387096774,0.0645161290322581,0.258064516129032,0.161290322580645,0.0645161290322581,0.161290322580645,0.032258064516129,10.822,1,0,0,9,3,"I",1,4.33333333333333,0.10752688172043,6,0.161290322580645
"16",16,24,"ct","chinese",2,4,"Male","UI",2.922866667,25.941,6,7,1,9,1,1,1,6,0.208333333333333,0.25,0,0.333333333333333,0,0,0,0.208333333333333,5.679,1,1,0,8,3,"I",2,4.66666666666667,0.152777777777778,3.66666666666667,0.111111111111111
"17",17,25,"ct","chinese",4,6,"Male","IU",6.667483333,88.434,1,9,1,9,1,1,1,1,0,0.5,0,0.5,0,0,0,0,70.678,1,1,0,6,1,"I",1,3.66666666666667,0.166666666666667,3.66666666666667,0.166666666666667
"18",18,22,"ct","chinese",2,3,"Male","UI",4.519366667,30.827,5,5,1,7,2,2,2,7,0.173913043478261,0.173913043478261,0,0.260869565217391,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.260869565217391,8.831,1,1,0,7,4,"I",2,3.66666666666667,0.115942028985507,3.66666666666667,0.115942028985507
"19",19,24,"ct","chinese",2,4,"Male","IU",2.462716667,28.277,3,6,1,7,1,1,1,5,0.117647058823529,0.294117647058824,0,0.352941176470588,0,0,0,0.235294117647059,9.539,1,1,0,8,2,"I",1,3.33333333333333,0.137254901960784,3,0.117647058823529
"20",20,24,"ct","chinese",2,4,"Male","UI",3.04,13.803,1,1,1,9,1,1,1,9,0,0,0,0.5,0,0,0,0.5,8.296,1,1,0,9,1,"I",2,1,0,3.66666666666667,0.166666666666667
"21",21,24,"ct","chinese",4,3,"Male","UI",3.8045,16.972,1,7,1,7,1,1,1,1,0,0.5,0,0.5,0,0,0,0,8.023,1,1,0,7,1,"I",2,3,0.166666666666667,3,0.166666666666667
"22",22,20,"pr","indian",1,3,"Female","UI",8.197783333,29.345,9,9,1,9,1,1,7,2,0.258064516129032,0.258064516129032,0,0.258064516129032,0,0,0.193548387096774,0.032258064516129,13.371,1,1,0,9,2,"I",2,6.33333333333333,0.172043010752688,3.66666666666667,0.0860215053763441
"23",23,21,"ct","chinese",3,3,"Female","UI",3.054716667,39.271,5,5,1,9,1,1,1,1,0.25,0.25,0,0.5,0,0,0,0,6.427,1,1,0,9,6,"I",2,3.66666666666667,0.166666666666667,3.66666666666667,0.166666666666667
"24",24,19,"ct","chinese",1,3,"Female","IU",2.817633333,29.598,2,7,1,9,1,1,1,5,0.0526315789473684,0.315789473684211,0,0.421052631578947,0,0,0,0.210526315789474,9.389,1,1,0,9,1,"I",1,3.33333333333333,0.12280701754386,3.66666666666667,0.140350877192982
"25",25,NA,"-1","-1",-1,-1,"Male","IU",4.447483333,38.604,7,7,1,9,1,5,1,2,0.24,0.24,0,0.32,0,0.16,0,0.04,8.869,1,1,0,9,7,"I",1,5,0.16,5,0.16
"26",26,25,"ct","chinese",4,3,"Male","UI",3.1757,14.459,7,7,5,5,3,3,2,5,0.238095238095238,0.238095238095238,0.142857142857143,0.142857142857143,0.0476190476190476,0.0476190476190476,0,0.142857142857143,6.406,1,1,0,8,6,"I",2,6.33333333333333,0.206349206349206,3.66666666666667,0.0793650793650794
"27",27,21,"ct","chinese",2,3,"Female","UI",2.334433333,9.903,4,7,1,4,1,1,1,5,0.1875,0.375,0,0.1875,0,0,0,0.25,3.012,1,1,0,8,4,"I",2,4,0.1875,2,0.0625
"28",28,22,"nc","chinese",1,6,"Female","UI",3.169083333,17.387,5,6,1,7,1,1,1,6,0.2,0.25,0,0.3,0,0,0,0.25,8.877,1,1,0,6,7,"I",2,4,0.15,3,0.1
"29",29,23,"ct","chinese",4,3,"Female","IU",6.5535,26.106,5,5,1,7,1,1,1,4,0.235294117647059,0.235294117647059,0,0.352941176470588,0,0,0,0.176470588235294,22.384,1,0,0,8,2,"I",1,3.66666666666667,0.156862745098039,3,0.117647058823529
"30",30,23,"ct","chinese",4,6,"Female","UI",3.513616667,24.327,2,7,3,7,2,2,2,7,0,0.3125,0.0625,0.3125,0,0,0,0.3125,7.143,1,1,0,8,3,"I",2,4,0.125,3.66666666666667,0.104166666666667
"31",31,24,"ct","chinese",2,6,"Male","IU",3.703533333,36.754,1,8,1,8,1,1,1,1,0,0.5,0,0.5,0,0,0,0,12.918,1,1,0,9,7,"I",1,3.33333333333333,0.166666666666667,3.33333333333333,0.166666666666667
"32",32,24,"ct","chinese",2,6,"Male","IU",3.370283333,33.385,6,6,1,9,1,1,1,4,0.238095238095238,0.238095238095238,0,0.380952380952381,0,0,0,0.142857142857143,24.22,1,1,0,9,5,"I",1,4.33333333333333,0.158730158730159,3.66666666666667,0.126984126984127
"33",33,22,"ct","chinese",4,6,"Female","UI",4.0611,24.272,1,8,1,8,1,1,1,1,0,0.5,0,0.5,0,0,0,0,7.277,1,1,0,9,3,"I",2,3.33333333333333,0.166666666666667,3.33333333333333,0.166666666666667
"34",34,22,"ct","chinese",4,3,"Female","IU",4.7497,56.923,3,8,2,8,2,2,2,6,0.0588235294117647,0.352941176470588,0,0.352941176470588,0,0,0,0.235294117647059,12.09,1,1,0,8,3,"I",1,4.33333333333333,0.137254901960784,4,0.117647058823529
"35",35,24,"ct","chinese",2,4,"Male","UI",3.94165,43.048,9,9,1,9,1,1,1,9,0.25,0.25,0,0.25,0,0,0,0.25,6.628,1,1,0,9,9,"I",2,6.33333333333333,0.166666666666667,3.66666666666667,0.0833333333333333
"36",36,20,"ct","chinese",2,3,"Female","UI",4.838833333,39.152,2,2,2,9,5,5,5,4,0,0,0,0.388888888888889,0.166666666666667,0.166666666666667,0.166666666666667,0.111111111111111,10.218,1,1,0,8,4,"I",2,2,0,6.33333333333333,0.240740740740741
"37",37,28,"nc","chinese",6,8,"Female","UI",8.400533333,28.521,5,5,1,8,2,2,6,1,0.181818181818182,0.181818181818182,0,0.318181818181818,0.0454545454545455,0.0454545454545455,0.227272727272727,0,10.678,1,1,0,7,6,"I",2,3.66666666666667,0.121212121212121,4,0.136363636363636
"38",38,21,"ct","chinese",2,3,"Male","IU",4.03475,26.931,7,7,1,9,1,1,1,1,0.3,0.3,0,0.4,0,0,0,0,14.838,0,1,0,7,2,"I",1,5,0.2,3.66666666666667,0.133333333333333
"39",39,22,"ct","chinese",2,6,"Male","IU",13.09878333,75.74,5,2,5,8,2,7,2,3,0.166666666666667,0,0.166666666666667,0.333333333333333,0,0.277777777777778,0,0.0555555555555556,19.243,0,0,0,5,6,"I",1,4,0.111111111111111,5.66666666666667,0.203703703703704
"40",40,25,"ct","chinese",3,4,"Male","UI",3.10155,17.163,2,2,2,8,2,2,2,2,0,0,0,1,0,0,0,0,7.317,1,1,0,9,6,"I",2,2,0,4,0.333333333333333
"41",41,22,"ct","chinese",2,3,"Male","UI",3.346516667,37.098,3,8,2,8,1,1,1,2,0.111111111111111,0.388888888888889,0.0555555555555556,0.388888888888889,0,0,0,0.0555555555555556,4.472,1,1,0,8,4,"I",2,4.33333333333333,0.185185185185185,3.33333333333333,0.12962962962963
"42",42,23,"ct","chinese",3,3,"Male","UI",3.523683333,17.798,1,1,1,9,1,1,1,1,0,0,0,1,0,0,0,0,4.516,1,1,0,9,1,"I",2,1,0,3.66666666666667,0.333333333333333
"43",43,22,"ct","chinese",3,3,"Other","IU",3.410266667,47.939,1,9,1,9,1,1,1,1,0,0.5,0,0.5,0,0,0,0,8.985,1,1,0,9,1,"I",1,3.66666666666667,0.166666666666667,3.66666666666667,0.166666666666667
"44",44,22,"nc","chinese",6,6,"Male","UI",70.1393,19.778,7,7,1,9,1,1,1,9,0.214285714285714,0.214285714285714,0,0.285714285714286,0,0,0,0.285714285714286,4.875,1,1,0,9,3,"I",2,5,0.142857142857143,3.66666666666667,0.0952380952380952
